BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 6516  1288.5  35   1203.5  0.175    48.9    5.0
FRB 6517   309.1  35    224.1  0.186    20.5    2.0
FRB 6519   662.3  35    577.3  0.515    46.7    3.0
FRB 6520   339.4  35    254.4  0.333    16.3    3.0
FRB 6521   198.3  35    113.3  0.080    54.8    2.0
FRB 6522   202.4  35    117.4  0.067    15.3    0.0
FRB 6523   497.1  35    412.1  0.255    12.5    3.0
FRB 6525   342.7  35    257.7  0.263    76.9    3.0
FRB 6526   703.1  35    618.1  0.598    12.0    1.0
FRB 6527   403.4  35    318.4  0.444    63.2    2.0
FRB 6528   618.0  35    533.0  0.464    27.9    2.0
FRB 6529   767.3  35    682.3  0.094    18.1    2.0
FRB 6530   235.1  35    150.1  0.046   329.3    0.0
FRB 6531   307.2  35    222.2  0.058    17.6    2.0
FRB 6532   516.7  35    431.7  0.359    15.2    3.0
FRB 6534  1764.7  35   1679.7  0.274    12.5    3.0
FRB 6535   971.6  35    886.6  0.321    18.6    3.0
FRB 6537   503.7  35    418.7  0.225    10.2    2.0
FRB 6539   507.6  35    422.6  0.360    20.9    1.0
FRB 6540   615.2  35    530.2  0.338    24.8    0.0
FRB 6541   238.4  35    153.4  0.030    10.8    1.0
FRB 6542   492.5  35    407.5  0.314    41.6    2.0
FRB 6543   599.4  35    514.4  0.627    49.7    1.0
FRB 6545   394.0  35    309.0  0.156    10.6    2.0
FRB 6547   671.0  35    586.0  0.038    29.2    1.0
FRB 6548   513.6  35    428.6  0.049    11.0    2.0
FRB 6549   200.5  35    115.5  0.139    84.9    3.0
FRB 6551   443.6  35    358.6  0.072    62.7    4.0
FRB 6552   749.1  35    664.1  0.322    26.5    3.0
FRB 6553   395.2  35    310.2  0.297    13.6    3.0
FRB 6554   648.7  35    563.7  0.306    24.7    2.0
FRB 6556   909.5  35    824.5  0.382    14.3    3.0
FRB 6557  1283.2  35   1198.2  0.479    10.1    2.0
FRB 6559   419.3  35    334.3  0.430    10.2    3.0
FRB 6561   363.7  35    278.7  0.094    27.3    3.0
FRB 6562   572.6  35    487.6  0.509    14.7    2.0
FRB 6563   537.1  35    452.1  0.373    12.3    2.0
FRB 6565   810.1  35    725.1  0.362    14.4    2.0
FRB 6566   613.0  35    528.0  0.150    18.2    1.0
FRB 6567   175.2  35     90.2  0.130     9.4    2.0
FRB 6569   481.8  35    396.8  0.283     9.7    4.0
FRB 6570   605.7  35    520.7  0.622    16.1    3.0
FRB 6571   183.9  35     98.9  0.020    40.0    3.0
FRB 6573   378.8  35    293.8  0.308    20.5    1.0
FRB 6574   379.5  35    294.5  0.150    56.4    3.0
FRB 6575   211.0  35    126.0  0.161    19.0    2.0
FRB 6576   386.1  35    301.1  0.373    10.5    3.0
FRB 6578   437.1  35    352.1  0.214    20.0    2.0
FRB 6579   281.7  35    196.7  0.020    49.1    2.0
FRB 6580   876.3  35    791.3  0.253    33.1    4.0
FRB 6581   532.1  35    447.1  0.233    10.0    4.0
FRB 6582   254.5  35    169.5  0.264    25.5    3.0
FRB 6584   253.9  35    168.9  0.204    15.4    1.0
FRB 6585   126.5  35     41.5  0.019    49.1    1.0
FRB 6586   482.3  35    397.3  0.163     9.8    2.0
FRB 6587   779.6  35    694.6  0.534    34.1    2.0
FRB 6589   251.8  35    166.8  0.068    12.0    2.0
FRB 6591   285.6  35    200.6  0.278    20.4    2.0
FRB 6592   360.8  35    275.8  0.083    18.1    2.0
FRB 6593   243.3  35    158.3  0.218    10.7    3.0
FRB 6595   781.3  35    696.3  0.324    15.4    4.0
FRB 6596   426.5  35    341.5  0.283     9.6    2.0
FRB 6598   723.2  35    638.2  0.414     9.1    3.0
FRB 6600   357.0  35    272.0  0.199    35.3    4.0
FRB 6601   259.0  35    174.0  0.119    47.4    2.0
FRB 6602   189.7  35    104.7  0.002    26.0    3.0
FRB 6603   497.5  35    412.5  0.177    38.5    3.0
FRB 6604   281.3  35    196.3  0.218    11.6    4.0
FRB 6605   244.1  35    159.1  0.018    21.7    1.0
FRB 6606  1332.5  35   1247.5  0.160    40.9    3.0
FRB 6608   502.2  35    417.2  0.407     9.5    4.0
FRB 6610   251.8  35    166.8  0.195    33.1    3.0
FRB 6611   315.6  35    230.6  0.176    28.0    1.0
FRB 6612   537.1  35    452.1  0.051    13.8    2.0
FRB 6614   857.6  35    772.6  0.076    16.4    4.0
FRB 6615   424.7  35    339.7  0.157    59.6    2.0
FRB 6616   349.3  35    264.3  0.145    14.0    3.0
FRB 6617   261.1  35    176.1  0.163   134.8    3.0
FRB 6618   804.6  35    719.6  0.236    17.2    2.0
FRB 6619   719.8  35    634.8  0.381    30.2    3.0
FRB 6620   497.4  35    412.4  0.196    23.9    5.0
FRB 6621   430.2  35    345.2  0.226    26.6    3.0
FRB 6622   356.9  35    271.9  0.204    19.2    3.0
FRB 6624   635.4  35    550.4  0.709    11.8    1.0
FRB 6626   338.7  35    253.7  0.379    12.2    3.0
FRB 6628   509.2  35    424.2  0.498    12.6    1.0
FRB 6629   545.0  35    460.0  0.382    14.9    3.0
FRB 6630   175.7  35     90.7  0.011    19.8    4.0
FRB 6631   247.9  35    162.9  0.232    89.0    2.0
FRB 6632   816.7  35    731.7  0.077   128.3    3.0
FRB 6634   313.3  35    228.3  0.368    31.2    2.0
FRB 6635  1074.6  35    989.6  0.483    14.1    2.0
FRB 6636   932.6  35    847.6  0.434    16.8    3.0
FRB 6637   468.8  35    383.8  0.538    10.0    1.0
FRB 6639   309.7  35    224.7  0.084    23.2    3.0
FRB 6640   474.5  35    389.5  0.351    13.1    2.0
FRB 6641   430.8  35    345.8  0.339    14.1    2.0
FRB 6643   344.6  35    259.6  0.159    10.3    4.0
FRB 6644   610.6  35    525.6  0.654    30.0    3.0
FRB 6645   122.8  35     37.8  0.001    17.0    1.0
FRB 6646   846.0  35    761.0  0.585    16.4    2.0
FRB 6647   221.8  35    136.8  0.143    20.0    5.0
FRB 6649   633.8  35    548.8  0.360    10.0    3.0
FRB 6651   297.4  35    212.4  0.055   220.1    3.0
FRB 6652   401.6  35    316.6  0.285    16.8    3.0
FRB 6653   458.2  35    373.2  0.415    24.2    3.0
FRB 6654   496.8  35    411.8  0.560    16.0    2.0
FRB 6655   510.4  35    425.4  0.242    13.7    3.0
FRB 6656   535.8  35    450.8  0.273    47.6    2.0
FRB 6658   268.6  35    183.6  0.176    27.0    3.0
FRB 6659   395.4  35    310.4  0.027    75.6    3.0
FRB 6660   235.5  35    150.5  0.071     9.5    3.0
FRB 6661  1445.5  35   1360.5  0.328    58.9    4.0
FRB 6662   196.4  35    111.4  0.117    79.4    3.0
FRB 6664   255.3  35    170.3  0.003    25.8    3.0
FRB 6665   239.5  35    154.5  0.160    54.1    3.0
FRB 6666   437.2  35    352.2  0.343    22.1    1.0
FRB 6667   406.0  35    321.0  0.321    10.4    3.0
FRB 6668   356.3  35    271.3  0.186    14.3    0.0
FRB 6669   324.1  35    239.1  0.207    70.4    2.0
FRB 6671   193.6  35    108.6  0.160    12.2    4.0
FRB 6672   394.5  35    309.5  0.370    21.5    4.0
FRB 6674   314.5  35    229.5  0.320    16.6    3.0
FRB 6675   228.2  35    143.2  0.169    10.8    1.0
FRB 6677   351.2  35    266.2  0.152    10.9    2.0
FRB 6678   272.4  35    187.4  0.195    19.3    4.0
FRB 6680   169.6  35     84.6  0.085    20.3    3.0
FRB 6681   149.1  35     64.1  0.061    10.6    1.0
FRB 6682   181.0  35     96.0  0.061    25.3    4.0
FRB 6683   570.9  35    485.9  0.471    22.5    2.0
FRB 6685   460.8  35    375.8  0.521     9.1    2.0
FRB 6687   451.9  35    366.9  0.285    10.6    3.0
FRB 6689   255.3  35    170.3  0.143    12.8    6.0
FRB 6690   545.8  35    460.8  0.027   110.9    4.0
FRB 6691  2825.0  35   2740.0  0.132    16.4    2.0
FRB 6693   337.8  35    252.8  0.340    39.9    1.0
FRB 6694   572.3  35    487.3  0.140    89.3    3.0
FRB 6695   122.1  35     37.1  0.035    25.2    2.0
FRB 6696   169.0  35     84.0  0.105    14.9    4.0
FRB 6697   249.9  35    164.9  0.044    17.1    3.0
FRB 6698   911.4  35    826.4  0.093    30.5    4.0
FRB 6699   226.9  35    141.9  0.176     9.9    4.0
FRB 6700   392.5  35    307.5  0.043    19.0    2.0
FRB 6702   277.9  35    192.9  0.142    59.0    3.0
FRB 6703   789.8  35    704.8  0.237    27.5    3.0
FRB 6704   700.2  35    615.2  0.394    30.2    4.0
FRB 6705   743.0  35    658.0  0.101     9.4    1.0
FRB 6706   208.3  35    123.3  0.191    21.3    2.0
FRB 6708  1101.5  35   1016.5  0.176    12.8    2.0
FRB 6709   500.0  35    415.0  0.437    14.4    3.0
FRB 6710   211.7  35    126.7  0.138    14.5    3.0
FRB 6712   380.1  35    295.1  0.264    13.5    4.0
FRB 6714   534.4  35    449.4  0.195    72.4    2.0
FRB 6715   690.5  35    605.5  0.367    11.2    2.0
FRB 6717   283.6  35    198.6  0.160    26.6    1.0
FRB 6718   570.6  35    485.6  0.474     9.4    3.0
FRB 6720   381.0  35    296.0  0.244    18.5    2.0
FRB 6721   256.0  35    171.0  0.063    19.3    2.0
FRB 6722   602.2  35    517.2  0.548    10.7    1.0
FRB 6724   454.1  35    369.1  0.259    61.1    2.0
FRB 6725   420.9  35    335.9  0.356    22.0    0.0
FRB 6726   281.8  35    196.8  0.186    16.6    3.0
FRB 6727   717.7  35    632.7  0.468    21.2    2.0
FRB 6728   351.8  35    266.8  0.359    73.2    2.0
FRB 6729   208.2  35    123.2  0.030    11.0    2.0
FRB 6730   455.5  35    370.5  0.224    14.1    4.0
FRB 6732   132.5  35     47.5  0.026    10.3    4.0
FRB 6733   320.8  35    235.8  0.013    54.0    4.0
FRB 6734   443.5  35    358.5  0.253   179.3    1.0
FRB 6736   185.2  35    100.2  0.047    23.8    4.0
FRB 6737   266.6  35    181.6  0.297    10.1    0.0
FRB 6738   433.6  35    348.6  0.206    15.0    3.0
FRB 6739   560.5  35    475.5  0.125    33.3    1.0
FRB 6741   211.5  35    126.5  0.198    12.1    1.0
FRB 6742   246.6  35    161.6  0.121    15.9    2.0
FRB 6743   604.6  35    519.6  0.024    20.7    2.0
FRB 6744   599.3  35    514.3  0.254    61.4    1.0
FRB 6745   186.0  35    101.0  0.124    16.9    2.0
FRB 6747   185.5  35    100.5  0.108    53.2    3.0
FRB 6748   388.6  35    303.6  0.449    11.3    2.0
FRB 6749   487.3  35    402.3  0.068    15.9    3.0
FRB 6751   458.4  35    373.4  0.003    26.9    2.0
FRB 6752   257.7  35    172.7  0.148    13.4    3.0
FRB 6753   262.3  35    177.3  0.256   111.1    2.0
FRB 6754   248.8  35    163.8  0.172    31.3    2.0
FRB 6755   372.7  35    287.7  0.053    27.8    5.0
FRB 6756   251.6  35    166.6  0.069    29.9    2.0
FRB 6757   194.4  35    109.4  0.032    35.2    1.0
FRB 6758   475.6  35    390.6  0.217    14.7    3.0
FRB 6759   165.7  35     80.7  0.048    59.2    2.0
FRB 6760   329.9  35    244.9  0.191    64.4    3.0
FRB 6762   378.9  35    293.9  0.272    13.0    2.0
FRB 6764   709.3  35    624.3  0.016   172.9    1.0
FRB 6765   544.3  35    459.3  0.499    12.3    1.0
FRB 6766   466.5  35    381.5  0.340    20.6    2.0
FRB 6767   274.5  35    189.5  0.088    39.9    3.0
FRB 6768   344.5  35    259.5  0.028    35.0    2.0
FRB 6770   474.1  35    389.1  0.480    17.8    3.0
FRB 6771   307.9  35    222.9  0.085    11.5    1.0
FRB 6772   375.8  35    290.8  0.429    22.4    3.0
FRB 6773   260.2  35    175.2  0.222    47.2    3.0
FRB 6775   321.9  35    236.9  0.251    11.1    1.0
FRB 6777   327.2  35    242.2  0.224    21.4    2.0
FRB 6778   410.0  35    325.0  0.170    14.3    3.0
FRB 6779   316.8  35    231.8  0.240    14.2    2.0
FRB 6780   517.6  35    432.6  0.481    13.7    3.0
FRB 6782   626.6  35    541.6  0.554    15.9    2.0
FRB 6783   331.8  35    246.8  0.249    23.4    2.0
FRB 6784   327.2  35    242.2  0.097    46.4    3.0
FRB 6785   429.0  35    344.0  0.338    47.0    2.0
FRB 6786   647.2  35    562.2  0.237    10.2    5.0
FRB 6788   346.4  35    261.4  0.301    24.3    3.0
FRB 6789   455.5  35    370.5  0.523    11.9    2.0
FRB 6791   450.6  35    365.6  0.212    14.3    2.0
FRB 6792  1056.4  35    971.4  0.622    11.5    2.0
FRB 6793  1845.1  35   1760.1  0.121    15.7    2.0
FRB 6795   328.0  35    243.0  0.007    15.6    4.0
FRB 6796   351.2  35    266.2  0.303    10.6    2.0
FRB 6798   295.5  35    210.5  0.042    16.1    4.0
FRB 6799   505.6  35    420.6  0.391     9.9    2.0
FRB 6801   303.3  35    218.3  0.016    19.4    2.0
FRB 6802   198.8  35    113.8  0.038    12.1    4.0
FRB 6804   516.3  35    431.3  0.382    12.0    2.0
FRB 6805  1159.2  35   1074.2  0.155    40.7    2.0
FRB 6806   409.4  35    324.4  0.306    14.2    2.0
FRB 6808   408.6  35    323.6  0.404     9.6    4.0
FRB 6810   495.3  35    410.3  0.472    13.4    2.0
FRB 6812   683.6  35    598.6  0.628    11.0    3.0
FRB 6813   630.7  35    545.7  0.573    46.0    2.0
FRB 6815   144.6  35     59.6  0.007    11.8    2.0
FRB 6817  2148.7  35   2063.7  0.159    56.1    0.0
FRB 6818   518.8  35    433.8  0.447     9.6    2.0
FRB 6820   496.8  35    411.8  0.118     9.9    3.0
FRB 6821   354.8  35    269.8  0.215    48.9    3.0
FRB 6822   603.4  35    518.4  0.359    24.0    4.0
FRB 6824   135.9  35     50.9  0.028    17.0    2.0
FRB 6825   390.2  35    305.2  0.164     9.3    2.0
FRB 6827   246.5  35    161.5  0.214    21.5    3.0
FRB 6828   214.5  35    129.5  0.154    28.5    3.0
FRB 6829   833.6  35    748.6  0.470    11.6    2.0
FRB 6830   443.4  35    358.4  0.258    32.7    2.0
FRB 6831   213.0  35    128.0  0.051    14.9    1.0
FRB 6832   251.4  35    166.4  0.054    25.7    2.0
FRB 6834   326.5  35    241.5  0.139    28.0    3.0
FRB 6835  1779.6  35   1694.6  0.404    11.4    2.0
FRB 6836   412.3  35    327.3  0.488    16.5    2.0
FRB 6837   332.2  35    247.2  0.116    27.3    2.0
FRB 6838   454.6  35    369.6  0.362    29.9    2.0
FRB 6840   504.5  35    419.5  0.631    10.8    2.0
FRB 6841   171.2  35     86.2  0.121    17.1    2.0
FRB 6842   209.1  35    124.1  0.093    14.2    2.0
FRB 6843   893.2  35    808.2  0.054    26.7    3.0
FRB 6844   256.5  35    171.5  0.037    27.5    2.0
FRB 6846   475.8  35    390.8  0.491     9.7    3.0
FRB 6848   681.1  35    596.1  0.595    24.2    1.0
FRB 6849   631.2  35    546.2  0.186    27.8    3.0
FRB 6850   290.3  35    205.3  0.094    17.8    4.0
FRB 6851   420.4  35    335.4  0.306     9.8    3.0
FRB 6853   538.0  35    453.0  0.100    74.2    3.0
FRB 6854   935.0  35    850.0  0.201    20.1    2.0
FRB 6855   169.0  35     84.0  0.026    17.1    1.0
FRB 6856   178.5  35     93.5  0.045    10.1    2.0
FRB 6858   313.5  35    228.5  0.218     9.7    3.0
FRB 6859   658.3  35    573.3  0.285    18.0    3.0
FRB 6861   344.0  35    259.0  0.276    17.0    2.0
FRB 6862   309.4  35    224.4  0.327    17.1    3.0
FRB 6863  1000.4  35    915.4  0.384    11.1    3.0
FRB 6865   130.0  35     45.0  0.045    10.7    1.0
FRB 6867   826.8  35    741.8  0.594    22.7    1.0
FRB 6868   216.9  35    131.9  0.216    29.9    3.0
FRB 6869   521.4  35    436.4  0.328    23.8    1.0
FRB 6870   303.6  35    218.6  0.127    73.6    4.0
FRB 6871   257.4  35    172.4  0.195    10.1    0.0
FRB 6872   374.6  35    289.6  0.236    27.4    3.0
FRB 6873   374.3  35    289.3  0.054    15.7    3.0
FRB 6875   251.9  35    166.9  0.144    57.9    0.0
FRB 6876   354.8  35    269.8  0.364    12.8    2.0
FRB 6877   392.0  35    307.0  0.368    20.3    4.0
FRB 6878   686.5  35    601.5  0.612    21.4    3.0
FRB 6880   629.1  35    544.1  0.059    12.2    0.0
FRB 6881   225.0  35    140.0  0.150    72.0    2.0
FRB 6882   176.8  35     91.8  0.153    15.2    3.0
FRB 6884   127.0  35     42.0  0.026   171.4    1.0
FRB 6885   731.5  35    646.5  0.062    27.4    4.0
FRB 6886   272.4  35    187.4  0.128    17.1    5.0
FRB 6887   383.2  35    298.2  0.315     9.5    4.0
FRB 6888   333.7  35    248.7  0.184    16.9    5.0
FRB 6890   571.7  35    486.7  0.521     9.7    3.0
FRB 6891   216.7  35    131.7  0.174    23.0    2.0
FRB 6893   392.7  35    307.7  0.485     9.8    2.0
FRB 6894   556.2  35    471.2  0.333    16.0    3.0
FRB 6896   552.4  35    467.4  0.311    14.5    1.0
FRB 6897   714.5  35    629.5  0.081    19.2    3.0
FRB 6898   341.4  35    256.4  0.290    12.2    4.0
FRB 6900   364.6  35    279.6  0.152    82.3    1.0
FRB 6901   182.8  35     97.8  0.015    15.9    3.0
FRB 6902   197.0  35    112.0  0.135    13.0    4.0
FRB 6904   293.5  35    208.5  0.178    14.0    4.0
FRB 6905   294.6  35    209.6  0.035    23.3    2.0
FRB 6907   324.5  35    239.5  0.063    10.5    3.0
FRB 6908   706.8  35    621.8  0.351    14.7    3.0
FRB 6910   194.0  35    109.0  0.005    16.6    3.0
FRB 6911   208.8  35    123.8  0.090    13.8    1.0
FRB 6913   859.5  35    774.5  0.238    10.3    3.0
FRB 6914   493.0  35    408.0  0.459    18.2    4.0
FRB 6916   570.9  35    485.9  0.805     9.1    2.0
FRB 6917   263.9  35    178.9  0.261    18.4    2.0
FRB 6919   247.0  35    162.0  0.209    34.0    4.0
FRB 6920  1038.9  35    953.9  0.184    20.5    2.0
FRB 6921   658.5  35    573.5  0.485    18.2    3.0
FRB 6922   251.8  35    166.8  0.063    24.5    3.0
FRB 6923   281.8  35    196.8  0.085    11.2    2.0
FRB 6925   357.3  35    272.3  0.270    33.7    3.0
FRB 6926   249.7  35    164.7  0.101     9.4    2.0
FRB 6927   378.9  35    293.9  0.180    23.0    2.0
FRB 6928   821.8  35    736.8  0.784    14.8    0.0
FRB 6930   333.4  35    248.4  0.107    29.0    1.0
FRB 6931   200.4  35    115.4  0.180    10.9    3.0
FRB 6933   661.8  35    576.8  0.317    10.6    3.0
FRB 6934   212.8  35    127.8  0.122    51.7    2.0
FRB 6935   383.2  35    298.2  0.219    29.7    4.0
FRB 6937   832.3  35    747.3  0.424    32.7    3.0
FRB 6938   385.8  35    300.8  0.222    10.2    3.0
FRB 6939   431.9  35    346.9  0.275    29.5    2.0
FRB 6940   583.3  35    498.3  0.079   262.6    2.0
FRB 6941   207.0  35    122.0  0.072    77.8    2.0
FRB 6943   344.9  35    259.9  0.250    16.1    2.0
FRB 6944   351.9  35    266.9  0.262    23.9    3.0
FRB 6945   905.4  35    820.4  0.219    14.2    2.0
FRB 6946   410.7  35    325.7  0.058    10.0    2.0
FRB 6947   689.9  35    604.9  0.643    22.9    2.0
FRB 6949   564.1  35    479.1  0.465    30.6    1.0
FRB 6950   367.3  35    282.3  0.425    21.2    4.0
FRB 6951   189.6  35    104.6  0.168    20.1    3.0
FRB 6952   289.7  35    204.7  0.091    12.0    3.0
FRB 6954   151.8  35     66.8  0.066   144.8    1.0
FRB 6955   558.4  35    473.4  0.305     9.9    2.0
FRB 6957   396.6  35    311.6  0.232    13.4    3.0
FRB 6958   212.9  35    127.9  0.137    36.2    3.0
FRB 6959   383.5  35    298.5  0.403    18.3    3.0
FRB 6960   319.8  35    234.8  0.086    30.7    4.0
FRB 6961   298.9  35    213.9  0.184    14.1    2.0
FRB 6963   434.9  35    349.9  0.359    12.7    4.0
FRB 6964   719.9  35    634.9  0.348    16.3    3.0
FRB 6966   435.2  35    350.2  0.168    12.3    2.0
FRB 6968   848.5  35    763.5  0.400     9.3    3.0
FRB 6969   572.0  35    487.0  0.528    31.3    1.0
FRB 6971   835.5  35    750.5  0.350    26.1    1.0
FRB 6972   390.8  35    305.8  0.395    13.9    0.0
FRB 6973   152.3  35     67.3  0.091    14.2    4.0
FRB 6975   171.5  35     86.5  0.121    26.1    2.0
FRB 6976   231.1  35    146.1  0.028    12.2    2.0
FRB 6977   978.1  35    893.1  0.184    37.7    3.0
FRB 6978   524.0  35    439.0  0.383    17.0    2.0
FRB 6980  3382.2  35   3297.2  0.277    10.0    3.0
FRB 6981   166.9  35     81.9  0.024   106.2    4.0
FRB 6983   269.1  35    184.1  0.069    14.4    3.0
FRB 6984   488.2  35    403.2  0.323    26.0    2.0
FRB 6985   219.2  35    134.2  0.167    20.3    1.0
FRB 6986   308.5  35    223.5  0.221    46.0    2.0
FRB 6987  1370.1  35   1285.1  0.217    22.2    2.0
FRB 6988   291.9  35    206.9  0.214    15.5    3.0
FRB 6989   469.9  35    384.9  0.378    22.3    2.0
FRB 6990   325.0  35    240.0  0.289    11.7    2.0
FRB 6992   166.7  35     81.7  0.070    18.0    1.0
FRB 6993   610.7  35    525.7  0.018    15.8    2.0
FRB 6994   695.5  35    610.5  0.389    29.8    2.0
FRB 6995   308.2  35    223.2  0.304    14.1    3.0
FRB 6996   795.7  35    710.7  0.817    16.0    2.0
FRB 6997   509.5  35    424.5  0.484    10.5    0.0
FRB 6999   308.6  35    223.6  0.225    17.2    2.0
FRB 7000   232.8  35    147.8  0.165    23.7    4.0
FRB 7001   449.8  35    364.8  0.257    31.2    4.0
FRB 7002   207.7  35    122.7  0.140    11.1    2.0
FRB 7004   782.8  35    697.8  0.615    16.2    2.0
FRB 7005   211.8  35    126.8  0.014    25.0    2.0
FRB 7006   223.6  35    138.6  0.026    16.6    3.0
FRB 7007   572.8  35    487.8  0.310    12.8    3.0
FRB 7009   286.8  35    201.8  0.175    39.1    4.0
FRB 7010   276.4  35    191.4  0.093    27.7    2.0
FRB 7011   338.2  35    253.2  0.147    51.2    2.0
FRB 7012   243.9  35    158.9  0.069    11.4    4.0
FRB 7013   289.6  35    204.6  0.001    57.9    4.0
FRB 7014   209.2  35    124.2  0.006    24.3    1.0
FRB 7015  1142.8  35   1057.8  0.334    20.8    2.0
FRB 7016   338.3  35    253.3  0.318    21.0    2.0
FRB 7018   845.3  35    760.3  0.115    17.9    4.0
FRB 7019   422.9  35    337.9  0.515    13.7    3.0
FRB 7020   567.5  35    482.5  0.153    15.6    4.0
FRB 7021   550.5  35    465.5  0.612    15.5    1.0
